Gender,Height,Weight,Index
0,150,97,5
1,187,80,2
0,172,108,4
0,186,146,5
0,177,81,3
0,180,156,5
0,172,111,4
0,190,156,5
0,177,117,4
0,169,145,5
0,184,86,3
1,148,60,3
0,168,87,4
0,157,60,2
1,188,54,0
1,182,70,2
1,169,136,5
0,145,79,4
1,181,139,4
0,177,101,4
1,159,154,5
1,151,62,3
0,148,54,2
0,167,110,4
0,169,121,5
0,182,126,4
1,179,123,4
0,179,158,5
1,166,107,4
1,198,50,0
1,191,62,1
0,167,135,5
1,151,154,5
1,181,105,4
0,192,101,3
0,189,132,4
0,163,159,5
1,187,136,4
1,180,149,5
0,149,61,3
0,154,92,4
1,183,138,5
0,170,156,5
0,176,54,1
1,178,85,3
0,188,115,4
0,154,96,5
0,166,126,5
0,149,108,5
1,150,95,5
1,140,146,5
1,145,99,5
0,147,94,5
1,183,147,5
1,181,154,5
1,149,61,3
0,172,109,4
0,146,101,5
1,199,156,4
1,166,70,3
0,165,95,4
0,196,159,5
1,174,138,5
1,195,69,1
0,162,68,3
0,171,131,5
0,141,143,5
1,181,111,4
0,195,65,1
1,154,145,5
1,184,57,1
1,146,70,4
1,187,62,1
1,174,54,1
0,186,137,4
1,159,104,5
0,156,52,2
1,192,101,3
0,180,59,1
1,193,54,0
0,183,150,5
1,182,151,5
0,164,142,5
0,199,92,2
0,145,141,5
1,175,135,5
0,186,140,5
1,191,79,2
0,182,84,3
0,175,120,4
1,176,87,3
1,161,115,5
1,169,110,4
0,143,118,5
1,188,57,1
1,165,62,2
0,178,79,2
0,164,126,5
1,181,141,5
0,196,122,4
0,153,146,5
1,160,156,5
0,175,83,2
1,140,143,5
1,198,136,4
0,160,109,5
1,179,110,4
1,184,83,2
1,168,50,1
1,179,93,3
0,184,76,2
1,161,118,5
0,142,86,5
1,174,107,4
1,141,85,5
1,171,141,5
0,184,132,4
1,195,126,4
1,172,105,4
0,150,50,2
1,189,87,2
1,182,73,2
1,140,152,5
0,177,61,2
1,164,75,3
0,150,87,4
0,157,153,5
0,157,52,2
0,187,130,4
0,185,94,3
0,183,96,3
0,161,145,5
1,195,153,5
1,163,110,5
0,184,106,4
1,147,84,4
1,166,61,2
1,155,51,2
0,154,132,5
0,159,104,5
0,160,83,4
0,163,57,0
1,176,109,4
0,198,50,0
0,171,155,5
1,183,153,5
0,155,115,5
1,152,141,5
0,177,155,5
1,196,116,4
0,195,147,4
0,168,135,5
0,188,128,4
1,197,149,4
1,159,140,5
1,158,95,4
0,184,121,4
0,188,80,2
0,164,70,3
1,161,72,3
1,170,115,4
1,170,81,3
1,169,141,5
0,153,149,5
0,179,67,2
0,184,147,5
1,199,99,2
0,179,114,4
1,152,146,5
1,154,100,5
0,197,72,2
0,165,83,4
0,161,154,5
1,179,83,3
0,150,119,5
1,196,69,1
0,168,115,3
0,168,139,5
1,140,52,3
0,186,148,4
0,190,50,0
1,185,60,1
1,145,117,5
1,154,81,4
0,164,160,5
0,185,52,0
0,188,99,3
1,187,122,4
1,173,131,5
1,157,110,5
0,161,134,5
1,178,117,4
1,166,160,5
1,145,130,5
1,178,138,5
1,168,158,5
1,161,155,5
1,161,103,5
1,180,75,2
1,174,95,4
0,179,103,4
0,192,140,4
0,152,154,5
1,178,142,5
0,158,149,5
0,164,82,4
1,162,157,5
0,169,103,4
1,141,94,5
1,186,68,2
1,168,123,5
0,160,124,5
0,157,66,3
0,150,153,5
1,153,121,5
1,188,99,3
0,146,123,5
0,164,59,2
0,146,147,5
1,193,65,1
0,189,124,4
1,165,104,4
1,152,132,5
0,141,136,5
1,148,155,5
1,154,105,5
0,157,56,2
1,183,131,4
0,167,153,5
0,172,116,4
0,196,131,4
0,185,110,4
0,172,62,2
0,166,133,5
0,153,51,2
0,148,67,3
1,190,83,2
0,182,149,5
1,177,61,1
1,173,111,4
1,165,80,4
0,160,131,5
0,168,90,4
1,174,96,4
0,159,80,4
0,169,98,4
0,169,97,4
1,141,80,4
1,162,97,5
0,187,70,2
1,179,56,1
0,142,137,5
0,187,89,3
1,195,98,3
1,144,145,5
1,145,160,5
0,176,122,4
1,152,98,5
1,156,137,5
1,187,140,5
1,146,85,5
1,181,51,1
0,185,81,2
0,172,90,4
0,188,122,4
0,174,65,2
0,180,70,2
0,160,51,2
0,171,118,4
1,190,80,2
1,156,74,3
1,142,135,5
0,156,126,5
1,168,148,5
0,194,136,4
1,176,77,2
1,158,127,5
0,155,111,5
0,190,105,3
1,167,64,2
1,167,151,5
0,181,111,4
0,178,154,5
0,162,74,3
0,157,103,5
1,191,146,4
1,172,75,3
1,191,62,1
0,178,65,2
0,151,158,5
0,144,66,4
0,163,154,5
1,162,58,2
0,175,141,5
0,197,154,5
1,188,65,1
0,153,107,5
